G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
63007000;Fax and Internet;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
65000000;Postage and Shipping;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
65000500;Non Production - Material Consumption;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65000600;Materials - Internal;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65001000;Purchased Services;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65002000;Advertising and Sales Costs;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
65002100;Advertising - Loyality;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
65002200;Employee & Community Events;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
65003000;Repairs & Maint - Vehicle Costs;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65003100;Repairs & Maint - Internal Labor Allocation - Manu;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65003200;Repairs & Maint - Other;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65004000;Contract Services - Waste Disposal;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65004100;Contract Services - Environmental;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65005000;Tank Maintenance;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65005100;Materials - Freight;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65005200;653 Tank Maintenance > 5 Years;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65005300;Maintenance - Preventative;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65005310;Maintenance - Technicians;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65005400;Repairs & Maint - Railcars;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006000;Repairs & Maintenance Trailers;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006010;Repairs & Maintenance Tractors;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006100;Supplies - Tractor Tires-RecAP;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006200;Supplies - Trailer Tires-RecAP;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006300;Towing Expenses;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006400;Truck Wash;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65006500;Extraordinary Maintenance;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
65007000;Contract Services - Spill and Clean-Up;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65100000;Office Supplies;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65101000;Supplies - Storehouse;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
